Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
1438;21100981751;"Scientia Sinica Informationis";journal;"20959486, 16747267";"Science Press";No;No;0,263;Q3;19;153;399;7742;575;392;1,37;50,60;33,48;0;36;China;Asiatic Region;"Science Press";"2019-2025";"Computer Science (miscellaneous) (Q3); Engineering (miscellaneous) (Q3)";"Computer Science; Engineering"
1439;19700186821;"International Journal of Web Based Communities";journal;"17418216, 14778394";"Inderscience Enterprises Ltd";No;No;0,262;Q3;28;25;64;498;80;64;1,13;19,92;46,67;0;0;United Kingdom;Western Europe;"Inderscience Enterprises Ltd";"2004-2024";"Communication (Q3); Computer Networks and Communications (Q3); Education (Q3); Software (Q3)";"Computer Science; Social Sciences"
1440;21100854726;"International Journal of Mathematics and Computer Science";journal;"18140432, 18140424";"Badih/Ghusayni, Ed. & Pub.";No;No;0,261;Q3;17;183;384;2023;303;384;0,80;11,05;48,79;0;8;United States;Northern America;"Badih/Ghusayni, Ed. & Pub.";"2017-2025";"Applied Mathematics (Q3); Computational Mathematics (Q3); Computer Science (miscellaneous) (Q3); Modeling and Simulation (Q3); Algebra and Number Theory (Q4); Discrete Mathematics and Combinatorics (Q4); Numerical Analysis (Q4); Statistics and Probability (Q4)";"Computer Science; Mathematics"
1441;21100842159;"International Review of Applied Sciences and Engineering";journal;"20620810, 20634269";"Akademiai Kiado";Yes;No;0,261;Q3;14;62;113;2512;160;113;1,44;40,52;23,31;1;22;Hungary;Eastern Europe;"Akademiai Kiado";"2017-2025";"Architecture (Q2); Engineering (miscellaneous) (Q3); Environmental Engineering (Q3); Information Systems (Q3); Materials Science (miscellaneous) (Q3); Management Science and Operations Research (Q4)";"Computer Science; Decision Sciences; Engineering; Environmental Science; Materials Science"
1442;12961;"Journal of Computer and Systems Sciences International";journal;"10642307, 15556530";"Pleiades Publishing";No;No;0,261;Q3;25;71;243;1561;123;243;0,54;21,99;24,80;0;1;United States;Northern America;"Pleiades Publishing";"1993-2024";"Applied Mathematics (Q3); Computer Networks and Communications (Q3); Computer Vision and Pattern Recognition (Q3); Control and Systems Engineering (Q3); Information Systems (Q3); Software (Q3); Theoretical Computer Science (Q4)";"Computer Science; Engineering; Mathematics"
1443;28360;"Journal of Object Technology";journal;"16601769";"Journal of Object Technology";Yes;No;0,261;Q3;40;22;71;857;91;69;1,47;38,95;10,14;0;1;Switzerland;Western Europe;"Journal of Object Technology";"2002-2024";"Software (Q3)";"Computer Science"
1444;21100466428;"Herald of the Bauman Moscow State Technical University, Series Natural Sciences";journal;"18123368";"Bauman University Publishing House";No;No;0,260;Q3;12;52;169;1273;110;169;0,60;24,48;31,17;0;8;Russian Federation;Eastern Europe;"Bauman University Publishing House";"2016-2024";"Chemistry (miscellaneous) (Q3); Computer Science (miscellaneous) (Q3); Engineering (miscellaneous) (Q3); Mathematics (miscellaneous) (Q3); Physics and Astronomy (miscellaneous) (Q3)";"Chemistry; Computer Science; Engineering; Mathematics; Physics and Astronomy"
1445;21100886546;"International Journal of Computer Mathematics: Computer Systems Theory";journal;"23799935, 23799927";"Taylor and Francis Ltd.";No;No;0,260;Q3;10;22;65;523;72;65;0,75;23,77;45,45;0;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2016-2025";"Computational Mathematics (Q3); Computational Theory and Mathematics (Q3)";"Computer Science; Mathematics"
1446;21101018670;"Izvestiya of Saratov University. Mathematics. Mechanics. Informatics";journal;"18169791, 25419005";"Saratov National Research State University";Yes;Yes;0,260;Q3;7;52;132;1042;59;132;0,43;20,04;26,67;0;2;Russian Federation;Eastern Europe;"Saratov National Research State University";"2018-2024";"Computational Mechanics (Q3); Computer Science (miscellaneous) (Q3); Mathematics (miscellaneous) (Q3); Mechanical Engineering (Q3); Mechanics of Materials (Q3)";"Computer Science; Engineering; Mathematics"
1447;21100815354;"JLIS.it";journal;"20381026, 20385366";"Universita di Firenze, Dipartimento di Storia, Archeologia, Geografia, Arte e Spettacolo";Yes;Yes;0,260;Q3;10;30;141;783;59;137;0,45;26,10;52,38;0;4;Italy;Western Europe;"Universita di Firenze, Dipartimento di Storia, Archeologia, Geografia, Arte e Spettacolo";"2017-2025";"Conservation (Q2); Library and Information Sciences (Q2); Computer Science Applications (Q3)";"Arts and Humanities; Computer Science; Social Sciences"
1448;26985;"Kinetics and Catalysis";journal;"00231584, 16083210";"";No;No;0,260;Q3;42;90;259;3637;306;259;1,44;40,41;41,54;0;24;Russian Federation;Eastern Europe;"";"1968-1971, 1984-1992, 1996-2024";"Chemistry (miscellaneous) (Q3); Computer Science Applications (Q3); Modeling and Simulation (Q3); Catalysis (Q4)";"Chemical Engineering; Chemistry; Computer Science; Mathematics"
1449;21101021169;"Applied Computer Science";journal;"18953735, 23536977";"Polish Association for Knowledge Promotion";Yes;No;0,259;Q3;10;48;103;1673;165;103;1,76;34,85;33,33;0;15;Poland;Eastern Europe;"Polish Association for Knowledge Promotion";"2019-2024";"Computer Science Applications (Q3); Control and Systems Engineering (Q3); Economics, Econometrics and Finance (miscellaneous) (Q3); Industrial and Manufacturing Engineering (Q3); Information Systems (Q3); Mechanical Engineering (Q3); Artificial Intelligence (Q4); Biomedical Engineering (Q4)";"Computer Science; Economics, Econometrics and Finance; Engineering"
1450;25396;"Design Automation for Embedded Systems";journal;"15728080, 09295585";"Springer Netherlands";No;No;0,259;Q3;33;11;35;490;48;33;1,40;44,55;10,00;0;3;Netherlands;Western Europe;"Springer Netherlands";"1996-2003, 2005, 2007-2025";"Hardware and Architecture (Q3); Software (Q3)";"Computer Science"
1451;21101226492;"International Journal of Information Technology and Computer Science";journal;"20749007, 20749015";"Modern Education and Computer Science Press";No;No;0,259;Q3;6;38;60;1351;82;60;1,37;35,55;28,05;0;12;Hong Kong;Asiatic Region;"Modern Education and Computer Science Press";"2022-2024";"Computational Theory and Mathematics (Q3); Computer Networks and Communications (Q3); Computer Science Applications (Q3); Control and Systems Engineering (Q3); Information Systems (Q3); Artificial Intelligence (Q4)";"Computer Science; Engineering"
1452;19900192598;"International Journal of Modeling, Simulation, and Scientific Computing";journal;"17939623, 17939615";"World Scientific";No;No;0,259;Q3;25;97;256;3358;364;254;1,54;34,62;35,74;0;35;Singapore;Asiatic Region;"World Scientific";"2010-2025";"Computer Science Applications (Q3); Modeling and Simulation (Q3)";"Computer Science; Mathematics"
1453;12170;"Modeling, Identification and Control";journal;"03327353, 18901328";"Research Council of Norway";Yes;Yes;0,259;Q3;31;12;37;298;37;37;0,96;24,83;13,33;0;5;Norway;Western Europe;"Research Council of Norway";"1980-1989, 1996-2024";"Computer Science Applications (Q3); Control and Systems Engineering (Q3); Modeling and Simulation (Q3); Software (Q4)";"Computer Science; Engineering; Mathematics"
1454;19700166503;"Journal of Advanced Computational Intelligence and Intelligent Informatics";journal;"13430130, 18838014";"Fuji Technology Press";Yes;No;0,258;Q3;34;134;329;3625;384;329;1,21;27,05;26,80;0;24;Japan;Asiatic Region;"Fuji Technology Press";"1997-2025";"Computer Vision and Pattern Recognition (Q3); Artificial Intelligence (Q4); Human-Computer Interaction (Q4)";"Computer Science"
1455;21101089371;"Law, Technology and Humans";journal;"26524074";"Queensland University of Technology";Yes;Yes;0,258;Q3;9;22;73;2245;123;71;1,88;102,05;36,11;0;9;Australia;Pacific Region;"Queensland University of Technology";"2019-2024";"Law (Q2); Biotechnology (Q3); Computer Networks and Communications (Q3); Computer Science (miscellaneous) (Q3); Information Systems and Management (Q3); Social Sciences (miscellaneous) (Q3); Artificial Intelligence (Q4)";"Biochemistry, Genetics and Molecular Biology; Computer Science; Decision Sciences; Social Sciences"
1456;21100206263;"New Mathematics and Natural Computation";journal;"17937027, 17930057";"World Scientific";No;No;0,258;Q3;20;112;143;3460;174;143;1,44;30,89;28,95;0;13;Singapore;Asiatic Region;"World Scientific";"2012-2025";"Applied Mathematics (Q3); Computational Mathematics (Q3); Computational Theory and Mathematics (Q3); Computer Science Applications (Q3); Human-Computer Interaction (Q4)";"Computer Science; Mathematics"
1457;25631;"New Review of Hypermedia and Multimedia";journal;"17407842, 13614568";"Taylor and Francis Ltd.";No;No;0,258;Q3;34;22;34;993;39;32;0,89;45,14;35,42;0;2;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1995-2025";"Media Technology (Q2); Computer Science Applications (Q3); Information Systems (Q3)";"Computer Science; Engineering"
1458;21101241973;"Notes on Intuitionistic Fuzzy Sets";journal;"23678283, 13104926";"Prof. Marin Drinov Publishing House of Bulgarian Academy of Sciences";No;No;0,258;Q3;6;29;104;533;61;101;0,41;18,38;34,15;0;1;Bulgaria;Eastern Europe;"Prof. Marin Drinov Publishing House of Bulgarian Academy of Sciences";"2020-2025";"Computational Theory and Mathematics (Q3); Decision Sciences (miscellaneous) (Q3); Engineering (miscellaneous) (Q3); Mathematics (miscellaneous) (Q3)";"Computer Science; Decision Sciences; Engineering; Mathematics"
1459;21100820619;"Periodica Polytechnica Electrical Engineering and Computer Science";journal;"20645279, 20645260";"Budapest University of Technology and Economics";Yes;No;0,258;Q3;19;40;119;1167;170;118;1,65;29,18;15,04;0;13;Hungary;Eastern Europe;"Budapest University of Technology and Economics";"2012-2025";"Computer Networks and Communications (Q3); Computer Science Applications (Q3); Electrical and Electronic Engineering (Q3); Information Systems (Q3); Signal Processing (Q3); Software (Q4)";"Computer Science; Engineering"
1460;21100788860;"International Journal of Mechanical Engineering and Robotics Research";journal;"22780149";"International Journal of Mechanical Engineering and Robotics Research";No;No;0,258;Q4;23;74;275;2093;431;275;1,53;28,28;17,53;0;27;India;Asiatic Region;"International Journal of Mechanical Engineering and Robotics Research";"2016-2025";"Control and Systems Engineering (Q3); Mechanical Engineering (Q3); Artificial Intelligence (Q4)";"Computer Science; Engineering"
1461;12933;"Cybernetics and Systems Analysis";journal;"15738337, 10600396";"Springer New York";No;No;0,256;Q3;30;95;315;2008;289;315;1,07;21,14;29,27;0;8;United States;Northern America;"Springer New York";"1991-2001, 2003, 2005-2024";"Computer Science (miscellaneous) (Q3)";"Computer Science"
1462;6100152804;"International Journal of Computational Science and Engineering";journal;"17427185, 17427193";"Inderscience Enterprises Ltd";No;No;0,256;Q3;29;63;182;2567;289;181;1,40;40,75;34,03;0;10;United Kingdom;Western Europe;"Inderscience Enterprises Ltd";"2005-2025";"Computational Mathematics (Q3); Hardware and Architecture (Q3); Computational Theory and Mathematics (Q4); Modeling and Simulation (Q4); Software (Q4)";"Computer Science; Mathematics"
1463;12492;"Journal of Information Science and Engineering";journal;"10162364";"Institute of Information Science";No;No;0,256;Q3;43;82;242;2155;269;241;1,27;26,28;34,38;0;17;Taiwan;Asiatic Region;"Institute of Information Science";"1993-1994, 1996-2025";"Library and Information Sciences (Q2); Computational Theory and Mathematics (Q3); Hardware and Architecture (Q3); Human-Computer Interaction (Q4); Software (Q4)";"Computer Science; Social Sciences"
1464;3200147702;"Electronic Government";journal;"17407494, 17407508";"Inderscience Enterprises Ltd";No;No;0,255;Q3;39;34;86;2127;105;86;1,06;62,56;34,72;0;26;United Kingdom;Western Europe;"Inderscience Enterprises Ltd";"2004-2025";"Computer Science Applications (Q3); Public Administration (Q3); E-learning (Q4)";"Computer Science; Social Sciences"
1465;145567;"Pragmatics and Cognition";journal;"15699943, 09290907";"John Benjamins Publishing Company";No;No;0,255;Q3;43;15;53;757;37;47;0,49;50,47;50,00;0;0;Netherlands;Western Europe;"John Benjamins Publishing Company";"1993-2014, 2016-2024";"History and Philosophy of Science (Q2); Linguistics and Language (Q2); Computer Science (miscellaneous) (Q3); Behavioral Neuroscience (Q4)";"Arts and Humanities; Computer Science; Neuroscience; Social Sciences"
1466;21100815385;"Archeologia e Calcolatori";journal;"23851953, 11206861";"Consiglio Nazionale delle Ricerche";Yes;Yes;0,254;Q3;8;32;172;1069;83;168;0,40;33,41;51,28;0;6;Italy;Western Europe;"Consiglio Nazionale delle Ricerche";"2016-2024";"Archeology (Q2); Archeology (arts and humanities) (Q2); Computer Science Applications (Q3)";"Arts and Humanities; Computer Science; Social Sciences"
1467;25978;"Journal of Electronic Imaging";journal;"1560229X, 10179909";"SPIE";No;No;0,254;Q3;73;358;835;15162;1227;827;1,50;42,35;32,29;0;26;United States;Northern America;"SPIE";"1993-2024";"Atomic and Molecular Physics, and Optics (Q3); Computer Science Applications (Q3); Electrical and Electronic Engineering (Q3)";"Computer Science; Engineering; Physics and Astronomy"
1468;21101268228;"Sakarya University Journal of Computer and Information Sciences";journal;"26368129";"Sakarya University";Yes;Yes;0,254;Q3;5;42;56;1514;71;56;1,27;36,05;18,39;0;8;Turkey;Middle East;"Sakarya University";"2022-2024";"Computer Science (miscellaneous) (Q3); Decision Sciences (miscellaneous) (Q3); Software (Q4); Theoretical Computer Science (Q4)";"Computer Science; Decision Sciences; Mathematics"
1469;20100195036;"International Journal of Healthcare Information Systems and Informatics";journal;"15553396, 1555340X";"IGI Global Publishing";No;No;0,253;Q3;21;12;87;397;150;87;0,86;33,08;40,00;0;4;United States;Northern America;"IGI Global Publishing";"2006-2025";"Information Systems (Q3); Information Systems and Management (Q3); Medicine (miscellaneous) (Q3)";"Computer Science; Decision Sciences; Medicine"
1470;21101244196;"International Journal of Information Engineering and Electronic Business";journal;"20749023, 20749031";"Modern Education and Computer Science Press";No;No;0,253;Q3;5;34;60;1041;82;60;1,37;30,62;28,21;0;11;Hong Kong;Asiatic Region;"Modern Education and Computer Science Press";"2022-2024";"Information Systems (Q3)";"Computer Science"
1471;21100937108;"Smart and Sustainable Manufacturing Systems";journal;"25206478, 25723928";"ASTM International";No;No;0,252;Q3;14;6;49;397;64;48;1,68;66,17;0,00;0;5;United States;Northern America;"ASTM International";"2017-2024";"Computer Science Applications (Q3); Control and Systems Engineering (Q3); Industrial and Manufacturing Engineering (Q3)";"Computer Science; Engineering"
1472;21100869464;"International Journal of Image and Graphics";journal;"02194678, 17936756";"World Scientific";No;No;0,251;Q3;26;150;240;6274;352;240;1,63;41,83;35,14;0;39;Singapore;Asiatic Region;"World Scientific";"2001-2025";"Computer Graphics and Computer-Aided Design (Q3); Computer Science Applications (Q3); Computer Vision and Pattern Recognition (Q3)";"Computer Science"
1473;24258;"Inteligencia Artificial";journal;"11373601";"Asociacion Espanola de Inteligencia Artificial";Yes;Yes;0,251;Q4;16;27;64;1032;110;64;1,75;38,22;33,87;0;6;Spain;Western Europe;"Asociacion Espanola de Inteligencia Artificial";"2004-2010, 2012-2025";"Artificial Intelligence (Q4); Software (Q4)";"Computer Science"
1474;21100788924;"African Journal of Research in Mathematics, Science and Technology Education";journal;"18117295, 24697656";"Taylor and Francis Ltd.";No;No;0,250;Q3;22;33;73;1363;71;72;0,70;41,30;43,08;0;17;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1997-2025";"Computer Science Applications (Q3); Education (Q3); Engineering (miscellaneous) (Q3); Mathematics (miscellaneous) (Q3); Physics and Astronomy (miscellaneous) (Q3)";"Computer Science; Engineering; Mathematics; Physics and Astronomy; Social Sciences"
1475;21100211724;"Intelligent Decision Technologies";journal;"18724981, 18758843";"SAGE Publications Ltd";No;No;0,250;Q3;20;204;206;6700;308;196;1,42;32,84;35,32;0;64;Netherlands;Western Europe;"SAGE Publications Ltd";"2007-2024";"Computer Vision and Pattern Recognition (Q3); Artificial Intelligence (Q4); Human-Computer Interaction (Q4); Software (Q4); Statistics and Probability (Q4); Statistics, Probability and Uncertainty (Q4)";"Computer Science; Decision Sciences; Mathematics"
1476;12415;"International Journal of Reliability, Quality and Safety Engineering";journal;"02185393, 17936446";"World Scientific";No;No;0,250;Q3;34;59;127;1840;185;125;1,49;31,19;29,63;0;13;Singapore;Asiatic Region;"World Scientific";"1996-2025";"Computer Science (miscellaneous) (Q3); Electrical and Electronic Engineering (Q3); Energy Engineering and Power Technology (Q3); Industrial and Manufacturing Engineering (Q3); Nuclear Energy and Engineering (Q3); Safety, Risk, Reliability and Quality (Q3); Aerospace Engineering (Q4)";"Computer Science; Energy; Engineering"
1477;21101186823;"Journal of 3D Printing in Medicine";journal;"20594763, 20594755";"Future Science Group";No;No;0,250;Q3;12;2;54;191;81;49;1,72;95,50;40,00;0;0;United Kingdom;Western Europe;"Future Science Group";"2019-2024";"Computer Science Applications (Q3); Radiology, Nuclear Medicine and Imaging (Q3); Biomedical Engineering (Q4)";"Computer Science; Engineering; Medicine"
1478;21101042317;"Journal of Systems Science and Information";journal;"14789906, 25126660";"Science China Press";No;No;0,250;Q3;10;43;118;1846;149;116;0,62;42,93;42,22;0;14;China;Asiatic Region;"Science China Press";"2019-2024";"Computer Networks and Communications (Q3); Control and Systems Engineering (Q3); Decision Sciences (miscellaneous) (Q3); Economics, Econometrics and Finance (miscellaneous) (Q3); Applied Mathematics (Q4); Statistics and Probability (Q4)";"Computer Science; Decision Sciences; Economics, Econometrics and Finance; Engineering; Mathematics"
1479;21101180711;"Rivista Italiana di Informatica e Diritto";journal;"27047318";"Consiglio Nazionale delle Ricerche";Yes;Yes;0,250;Q3;4;62;94;1977;25;89;0,32;31,89;48,08;0;26;Italy;Western Europe;"Consiglio Nazionale delle Ricerche";"2019-2024";"Law (Q2); Computer Science Applications (Q3); Information Systems (Q3); Artificial Intelligence (Q4)";"Computer Science; Social Sciences"
1480;21101021861;"Zhurnal Belorusskogo Gosudarstvennogo Universiteta. Matematika. Informatika";journal;"25206508, 26173956";"The Belarusian State University";Yes;Yes;0,250;Q4;5;26;85;441;29;85;0,27;16,96;29,41;0;4;Belarus;Eastern Europe;"The Belarusian State University";"2017-2024";"Algebra and Number Theory (Q4); Computational Theory and Mathematics (Q4); Discrete Mathematics and Combinatorics (Q4); Statistics and Probability (Q4)";"Computer Science; Mathematics"
1481;21100198470;"International Journal of Information Systems and Supply Chain Management";journal;"19355726, 19355734";"IGI Global Publishing";No;No;0,249;Q3;20;25;71;850;125;71;2,02;34,00;54,76;0;13;United States;Northern America;"IGI Global Publishing";"2008-2025";"Information Systems (Q3); Management Information Systems (Q3)";"Business, Management and Accounting; Computer Science"
1482;21100855883;"International Journal of Electrical and Computer Engineering Systems";journal;"18477003, 18476996";"J.J. Strossmayer University of Osijek , Faculty of Electrical Engineering, Computer Science and Information Technology";Yes;No;0,248;Q3;12;80;245;2464;389;245;1,51;30,80;34,81;0;31;Croatia;Eastern Europe;"J.J. Strossmayer University of Osijek , Faculty of Electrical Engineering, Computer Science and Information Technology";"2016-2025";"Computer Networks and Communications (Q3); Electrical and Electronic Engineering (Q3); Hardware and Architecture (Q3)";"Computer Science; Engineering"
1483;21100945165;"Acta Informatica Pragensia";journal;"18054951";"Prague University of Economics and Business";Yes;Yes;0,247;Q3;9;25;76;1159;139;72;1,85;46,36;20,83;0;8;Czech Republic;Eastern Europe;"Prague University of Economics and Business";"2019-2024";"Library and Information Sciences (Q2); Information Systems (Q3); Management Information Systems (Q3); Computer Science Applications (Q4)";"Business, Management and Accounting; Computer Science; Social Sciences"
1484;21100202935;"Ingenierie des Systemes d'Information";journal;"16331311, 21167125";"Lavoisier";No;No;0,247;Q3;21;228;367;8470;661;367;1,74;37,15;36,17;0;73;France;Western Europe;"Lavoisier";"2012-2025";"Information Systems (Q3)";"Computer Science"
1485;21100931880;"Uniciencia";journal;"22153470";"Universidad Nacional";Yes;Yes;0,247;Q3;9;34;126;1461;105;125;0,73;42,97;58,16;0;14;Costa Rica;Latin America;"Universidad Nacional";"2019-2024";"Agricultural and Biological Sciences (miscellaneous) (Q3); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3); Chemistry (miscellaneous) (Q3); Computer Science (miscellaneous) (Q3); Earth and Planetary Sciences (miscellaneous) (Q3); Mathematics (miscellaneous) (Q3); Physics and Astronomy (miscellaneous) (Q3); Social Sciences (miscellaneous) (Q3)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Chemistry; Computer Science; Earth and Planetary Sciences; Mathematics; Physics and Astronomy; Social Sciences"
1486;21100836592;"International Journal of Technology Marketing";journal;"17418798, 1741878X";"Inderscience";No;No;0,247;Q4;19;21;64;1840;100;63;1,86;87,62;38,18;0;4;Switzerland;Western Europe;"Inderscience";"2005-2025";"Marketing (Q3); Computer Science Applications (Q4)";"Business, Management and Accounting; Computer Science"
1487;23958;"Journal of Multiple-Valued Logic and Soft Computing";journal;"15423980";"Old City Publishing";No;No;0,247;Q4;30;63;131;2114;181;128;0,89;33,56;34,03;0;15;United States;Northern America;"Old City Publishing";"2003-2025";"Logic (Q4); Software (Q4); Theoretical Computer Science (Q4)";"Computer Science; Mathematics"
1488;13608;"Xitong Fangzhen Xuebao / Journal of System Simulation";journal;"1004731X";"Acta Simulata Systematica Sinica";No;No;0,247;Q4;33;221;788;5120;822;788;1,08;23,17;31,23;0;37;China;Asiatic Region;"Acta Simulata Systematica Sinica";"1998-1999, 2001-2025";"Aerospace Engineering (Q4); Computer Science Applications (Q4); Modeling and Simulation (Q4)";"Computer Science; Engineering; Mathematics"
1489;21100896913;"Cognitive Studies";journal;"23922397";"Polish Academy of Sciences, Institute of Slavic Studies";Yes;Yes;0,246;Q3;8;10;51;400;33;51;0,84;40,00;60,87;0;2;Poland;Eastern Europe;"Polish Academy of Sciences, Institute of Slavic Studies";"2018-2024";"Linguistics and Language (Q2); Communication (Q3); Computer Networks and Communications (Q3)";"Computer Science; Social Sciences"
1490;17294;"Defence Science Journal";journal;"0011748X, 0976464X";"Defence Scientific Information and Documentation Centre";No;No;0,246;Q4;44;83;276;2161;338;273;1,16;26,04;21,05;0;6;India;Asiatic Region;"Defence Scientific Information and Documentation Centre";"1970-1989, 1991-2024";"Multidisciplinary (Q2); Chemical Engineering (miscellaneous) (Q3); Electrical and Electronic Engineering (Q3); Mechanical Engineering (Q3); Physics and Astronomy (miscellaneous) (Q3); Biomedical Engineering (Q4); Computer Science Applications (Q4)";"Chemical Engineering; Computer Science; Engineering; Multidisciplinary; Physics and Astronomy"
1491;21101023180;"International Journal of Advanced Technology and Engineering Exploration";journal;"23945443, 23947454";"Accent Social and Welfare Society";No;No;0,245;Q3;15;101;338;5303;527;338;1,53;52,50;35,53;0;42;India;Asiatic Region;"Accent Social and Welfare Society";"2019-2025";"Civil and Structural Engineering (Q3); Computer Graphics and Computer-Aided Design (Q3); Computer Networks and Communications (Q3); Control and Systems Engineering (Q3); Electrical and Electronic Engineering (Q3); Mechanical Engineering (Q3); Artificial Intelligence (Q4); Computational Theory and Mathematics (Q4)";"Computer Science; Engineering"
1492;21100838789;"International Journal of Electrical and Electronic Engineering and Telecommunications";journal;"23192518";"Engineering and Technology Publishing";No;No;0,245;Q3;28;50;155;2011;450;155;2,89;40,22;18,90;0;11;United States;Northern America;"Engineering and Technology Publishing";"2017-2025";"Computer Networks and Communications (Q3); Electrical and Electronic Engineering (Q3); Instrumentation (Q3)";"Computer Science; Engineering; Physics and Astronomy"
1493;4700152641;"International Journal of Foundations of Computer Science";journal;"17936373, 01290541";"World Scientific Publishing Co. Pte Ltd";No;No;0,245;Q3;45;71;175;1846;147;167;0,87;26,00;26,75;0;1;Singapore;Asiatic Region;"World Scientific Publishing Co. Pte Ltd";"2000-2025";"Computer Science (miscellaneous) (Q3)";"Computer Science"
1494;21100369411;"Bulletin of the South Ural State University, Series: Mathematical Modelling, Programming and Computer Software";journal;"20710216, 23080256";"South Ural State University";No;No;0,245;Q4;15;29;124;562;65;124;0,63;19,38;42,86;0;5;Russian Federation;Eastern Europe;"South Ural State University";"2014-2024";"Computational Mathematics (Q3); Computational Theory and Mathematics (Q4); Modeling and Simulation (Q4); Software (Q4)";"Computer Science; Mathematics"
1495;21101017691;"Annals of Emerging Technologies in Computing";journal;"2516029X, 25160281";"International Association for Educators and Researchers (IAER)";No;No;0,244;Q3;17;23;109;691;175;98;1,37;30,04;12,24;0;5;United Kingdom;Western Europe;"International Association for Educators and Researchers (IAER)";"2017-2025";"Computer Science (miscellaneous) (Q3); Electrical and Electronic Engineering (Q3)";"Computer Science; Engineering"
1496;27275;"Journal of High Speed Networks";journal;"09266801, 18758940";"SAGE Publications Ltd";No;No;0,244;Q3;23;21;74;855;95;72;1,36;40,71;33,33;0;5;Netherlands;Western Europe;"SAGE Publications Ltd";"1992-2008, 2010-2024";"Computer Networks and Communications (Q3); Hardware and Architecture (Q3); Information Systems (Q3)";"Computer Science"
1497;21100201051;"Annals of Library and Information Studies";journal;"09725423, 09752404";"National Institute of Science Communication and Information Resources (NISCAIR)";Yes;Yes;0,244;Q4;18;9;80;285;53;77;0,76;31,67;72,73;0;0;India;Asiatic Region;"National Institute of Science Communication and Information Resources (NISCAIR)";"2011-2024";"Library and Information Sciences (Q3); Computer Science Applications (Q4)";"Computer Science; Social Sciences"
1498;19900193684;"Journal of Multiscale Modelling";journal;"17569737, 17569745";"World Scientific";No;No;0,244;Q4;12;10;47;472;50;46;0,76;47,20;8,33;0;2;Singapore;Asiatic Region;"World Scientific";"2009-2010, 2019-2025";"Computer Science Applications (Q4); Modeling and Simulation (Q4)";"Computer Science; Mathematics"
1499;21100901130;"International Journal of Humanities and Arts Computing";journal;"17538548, 17551706";"Edinburgh University Press";No;No;0,243;Q3;15;18;43;606;36;36;0,90;33,67;63,41;0;2;United Kingdom;Western Europe;"Edinburgh University Press";"1996, 1999-2001, 2007-2024";"Arts and Humanities (miscellaneous) (Q2); Computer Science (miscellaneous) (Q3); Human-Computer Interaction (Q4)";"Arts and Humanities; Computer Science"
1500;6400153138;"Modelling and Simulation in Engineering";journal;"16875605, 16875591";"John Wiley and Sons Ltd";Yes;No;0,243;Q4;30;35;101;1305;139;100;1,71;37,29;19,39;0;13;United States;Northern America;"John Wiley and Sons Ltd";"2007-2024";"Engineering (miscellaneous) (Q3); Computer Science Applications (Q4); Modeling and Simulation (Q4)";"Computer Science; Engineering; Mathematics"
1501;21100207010;"Journal of Fiber Bioengineering and Informatics";journal;"19408676";"Global Science Press";No;No;0,242;Q3;18;19;69;464;61;69;0,93;24,42;53,23;0;4;Hong Kong;Asiatic Region;"Global Science Press";"2012-2015, 2018-2024";"Computer Science (miscellaneous) (Q3); Materials Science (miscellaneous) (Q3)";"Computer Science; Materials Science"
1502;21100831441;"TEM Journal";journal;"22178309, 22178333";"UIKTEN - Association for Information Communication Technology Education and Science";Yes;No;0,242;Q3;26;338;774;11543;1103;774;1,35;34,15;44,82;0;136;Serbia;Eastern Europe;"UIKTEN - Association for Information Communication Technology Education and Science";"2017-2024";"Computer Science (miscellaneous) (Q3); Education (Q3); Information Systems (Q3); Information Systems and Management (Q3); Management of Technology and Innovation (Q3); Strategy and Management (Q3)";"Business, Management and Accounting; Computer Science; Decision Sciences; Social Sciences"
1503;18056;"Jiqiren/Robot";journal;"10020446";"Chinese Academy of Sciences";No;No;0,242;Q4;33;63;198;2537;327;198;1,74;40,27;29,55;0;8;China;Asiatic Region;"Chinese Academy of Sciences";"1998, 2001-2025";"Electrical and Electronic Engineering (Q3); Mechanical Engineering (Q3); Applied Mathematics (Q4); Artificial Intelligence (Q4); Modeling and Simulation (Q4); Software (Q4)";"Computer Science; Engineering; Mathematics"
1504;21100199308;"Journal of Applied Analysis";journal;"18696082, 14256908";"Walter de Gruyter GmbH";No;No;0,242;Q4;18;68;89;1814;62;89;0,56;26,68;21,21;0;2;Germany;Western Europe;"Walter de Gruyter GmbH";"1995-2025";"Applied Mathematics (Q4); Computational Theory and Mathematics (Q4); Mathematical Physics (Q4); Statistics, Probability and Uncertainty (Q4)";"Computer Science; Decision Sciences; Mathematics"
